factor,source,priority,sharpe_contribution,v10_recommendation
动态仓位 (pos 0.2-1.0),银河方案-动态仓位,P0,+0.85 (相对固定仓位),"所有选股策略统一叠加 `pos = (0.7 - 0.5·z_score).clip(0.2, 1.0)`"
5 风格因子横截面打分,中信多因子选股,P1,+0.37 (相对等权),"作为独立的选股模块, 与动态仓位叠加"
风险平价基础,基础风险平价 / 中信里昂全天候,P1,+0.02 (单独) 但降低波动率,作为底仓权重 (替代等权 1/N)
质量因子 (低波 + 高 Sharpe),中信多因子选股,P2,+0.15 (在 BARRA 内),作为附加风格因子
动量因子 (12-1 月),中信多因子选股 / 中信行业轮动,P2,+0.10,作为 Top-K 选股辅助
长期反转 (52-104 周),中信多因子选股 (Value 反向),P2,+0.10,作为质量/反转辅助
象限定位 (增长/通胀),中信里昂全天候,P3,+0.10 (相对纯 RP),作为动态仓位的辅助输入
5 宏观因子 (中信版),中信大类资产配置,P3 (不推荐),≈ 0 (与等权无显著差异),—
行业轮动,中信行业轮动,P3 (不推荐),+0.03 (相对等权),—
60/40 股债,60/40股债,P3 (避免),-0.05 (相对等权),—
